index,Date,product_group,dispatches_SellIn,orders_SellIn,SellOut,promo,hyp_promo,type_promo_1,type_promo_2,sin_dayofyear,cos_dayofyear,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
391,2016-10-30,Product_11,558,558,336,0.3,0.0,0.0,0.0,-0.8674563547295971,0.4975132889071803,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
396,2016-10-30,Product_17,732,732,452,8.1,0.0,0.0,0.0,-0.8674563547295971,0.4975132889071803,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
407,2016-10-30,Product_32,7,7,1338,69.2,96.53179190751445,1.0,1.0,-0.8674563547295971,0.4975132889071803,-0.3353778234701062,-0.0022687538347505353,-0.02758422960838478,-0.02758422960838478,-0.02758422960838478,-0.02758422960838478,-0.02758422960838478,-0.02758422960838478,-0.02758422960838478,-0.02758422960838478
418,2016-11-06,Product_04,3066,3066,3840,10.7,0.0,0.0,0.0,-0.801361088174677,0.5981809144059159,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
424,2016-11-06,Product_11,201,201,384,5.1000000000000005,65.89595375722543,1.0,1.0,-0.801361088174677,0.5981809144059159,-0.07435517686684467,-3.46044765233713e-05,-0.001604064204537913,-0.001604064204537913,-0.001604064204537913,-0.001604064204537913,-0.001604064204537913,-0.001604064204537913,-0.001604064204537913,-0.001604064204537913
429,2016-11-06,Product_17,1105,1105,368,6.9,0.0,0.0,0.0,-0.801361088174677,0.5981809144059159,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
440,2016-11-06,Product_32,511,511,455,2.1,0.0,0.0,0.0,-0.801361088174677,0.5981809144059159,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
451,2016-11-13,Product_04,5947,5947,4429,8.6,0.0,0.0,0.0,-0.7236440382959123,0.690173388242972,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
457,2016-11-13,Product_11,0,0,300,0.3,0.0,0.0,0.0,-0.7236440382959123,0.690173388242972,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
462,2016-11-13,Product_17,797,797,400,7.5,0.0,0.0,0.0,-0.7236440382959123,0.690173388242972,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
473,2016-11-13,Product_32,743,743,523,1.8,0.0,0.0,0.0,-0.7236440382959123,0.690173388242972,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
484,2016-11-20,Product_04,6069,6069,4427,8.4,0.0,0.0,0.0,-0.6354323008901775,0.7721565844991641,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
490,2016-11-20,Product_11,437,437,286,0.2,0.0,0.0,0.0,-0.6354323008901775,0.7721565844991641,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
495,2016-11-20,Product_17,653,653,360,1.8,0.0,0.0,0.0,-0.6354323008901775,0.7721565844991641,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
506,2016-11-20,Product_32,1091,1091,504,2.1,0.0,0.0,0.0,-0.6354323008901775,0.7721565844991641,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
517,2016-11-27,Product_04,12242,12414,4589,7.6,0.0,0.0,0.0,-0.5380051715382992,0.8429415373547832,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
523,2016-11-27,Product_11,586,586,253,0.3,0.0,0.0,0.0,-0.5380051715382992,0.8429415373547832,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
528,2016-11-27,Product_17,455,455,445,0.8,0.0,0.0,0.0,-0.5380051715382992,0.8429415373547832,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
539,2016-11-27,Product_32,570,570,472,1.9,0.0,0.0,0.0,-0.5380051715382992,0.8429415373547832,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
550,2016-12-04,Product_04,7472,8370,4670,1.4,0.0,0.0,0.0,-0.4327755925504317,0.9015016841318838,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
556,2016-12-04,Product_11,1110,1110,298,0.0,0.0,0.0,0.0,-0.4327755925504317,0.9015016841318838,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
561,2016-12-04,Product_17,3,3,946,22.5,92.48554913294798,1.0,1.0,-0.4327755925504317,0.9015016841318838,-0.17974256291927437,-0.0003639754870760136,-0.008088379744227759,-0.008088379744227759,-0.008088379744227759,-0.008088379744227759,-0.008088379744227759,-0.008088379744227759,-0.008088379744227759,-0.008088379744227759
572,2016-12-04,Product_32,1711,1711,630,9.0,66.47398843930635,1.0,1.0,-0.4327755925504317,0.9015016841318838,-0.284462257599796,-0.0019243217428443267,-0.023396514854094642,-0.023396514854094642,-0.023396514854094642,-0.023396514854094642,-0.023396514854094642,-0.023396514854094642,-0.023396514854094642,-0.023396514854094642
583,2016-12-11,Product_04,5790,5790,4809,0.8,0.0,0.0,0.0,-0.32126966169236515,0.9469877530760751,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
589,2016-12-11,Product_11,1113,1113,288,0.2,0.0,0.0,0.0,-0.32126966169236515,0.9469877530760751,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
594,2016-12-11,Product_17,626,626,381,0.5,0.0,0.0,0.0,-0.32126966169236515,0.9469877530760751,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
605,2016-12-11,Product_32,710,710,519,1.6,0.0,0.0,0.0,-0.32126966169236515,0.9469877530760751,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
616,2016-12-18,Product_04,5922,5922,5546,4.5,0.0,0.0,0.0,-0.20510449986861926,0.9787400799669153,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
622,2016-12-18,Product_11,1,1,324,0.2,0.0,0.0,0.0,-0.20510449986861926,0.9787400799669153,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
627,2016-12-18,Product_17,1357,1357,484,0.5,0.0,0.0,0.0,-0.20510449986861926,0.9787400799669153,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
638,2016-12-18,Product_32,282,282,624,1.0,0.0,0.0,0.0,-0.20510449986861926,0.9787400799669153,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
649,2016-12-25,Product_04,3597,4011,8697,87.4,92.48554913294798,1.0,1.0,-0.0859647987374467,0.9962981749346077,-1.6470643701917416,-0.28005998652941,-0.6791736341532777,-0.6791736341532777,-0.6791736341532777,-0.6791736341532777,-0.6791736341532777,-0.6791736341532777,-0.6791736341532777,-0.6791736341532777
655,2016-12-25,Product_11,546,546,375,5.0,66.47398843930635,1.0,1.0,-0.0859647987374467,0.9962981749346077,-0.07461199829125165,-3.472399975397978e-05,-0.0016096046130368046,-0.0016096046130368046,-0.0016096046130368046,-0.0016096046130368046,-0.0016096046130368046,-0.0016096046130368046,-0.0016096046130368046,-0.0016096046130368046
660,2016-12-25,Product_17,882,882,370,0.3,0.0,0.0,0.0,-0.0859647987374467,0.9962981749346077,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
671,2016-12-25,Product_32,423,423,1269,69.0,92.48554913294798,1.0,1.0,-0.0859647987374467,0.9962981749346077,-0.3285238049875644,-0.0022223879762246993,-0.027020498776076488,-0.027020498776076488,-0.027020498776076488,-0.027020498776076488,-0.027020498776076488,-0.027020498776076488,-0.027020498776076488,-0.027020498776076488
